               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 133,            0.021293,            0.016217,           0.0041221,             0.93206,             0.96665,             0.97823,             0.76784,            0.023234,            0.018373,           0.0039971,            0.003466,            0.003466,            0.003466
                 134,            0.021144,            0.015874,           0.0037591,             0.94662,             0.98291,             0.97896,             0.76708,            0.020688,             0.01874,           0.0033514,           0.0034165,           0.0034165,           0.0034165
                 135,            0.021129,            0.016102,           0.0038009,             0.92811,             0.96359,             0.97213,             0.75624,            0.021568,            0.018998,           0.0041632,            0.003367,            0.003367,            0.003367
                 136,            0.021045,            0.016446,           0.0035668,             0.93555,             0.95052,             0.97176,             0.77452,             0.02072,            0.018441,           0.0042299,           0.0033175,           0.0033175,           0.0033175
                 137,            0.021186,            0.016228,           0.0035924,             0.95289,             0.98291,             0.97427,             0.76986,            0.022068,             0.01876,           0.0032042,            0.003268,            0.003268,            0.003268
                 138,            0.019856,            0.016958,           0.0038245,             0.94703,              0.9912,             0.97537,                0.77,            0.021532,            0.018058,           0.0034105,           0.0032185,           0.0032185,           0.0032185
                 139,            0.020298,            0.016786,           0.0036024,             0.95712,             0.98013,             0.97744,             0.77924,            0.019903,            0.017599,           0.0033082,            0.003169,            0.003169,            0.003169
                 140,            0.020082,             0.01632,           0.0044845,             0.95484,             0.97927,             0.97899,             0.78474,            0.019723,            0.016997,           0.0029034,           0.0031195,           0.0031195,           0.0031195
                 141,            0.020851,            0.016913,           0.0037479,             0.94431,             0.98861,             0.98123,              0.7717,            0.023485,            0.017602,           0.0027397,             0.00307,             0.00307,             0.00307
                 142,            0.020708,            0.016161,           0.0038107,             0.95776,             0.97684,             0.97826,             0.77324,            0.021748,            0.018064,           0.0026104,           0.0030205,           0.0030205,           0.0030205
